id,star_name,radius,mass,distance
0,54 Piscium,36.1,53,0.798691378056286
1,54 Piscium,36.1,53,0.798691378056286
2,54 Piscium,36.1,53,0.798691378056286
3,54 Piscium,36.1,53,0.798691378056286
4,54 Piscium,36.1,53,0.798691378056286
5,54 Piscium,36.1,53,0.798691378056286
6,54 Piscium,36.1,53,0.798691378056286
7,54 Piscium,36.1,53,0.798691378056286
8,54 Piscium,36.1,53,0.798691378056286
9,54 Piscium,36.1,53,0.798691378056286
10,54 Piscium,36.1,53,0.798691378056286
11,54 Piscium,36.1,53,0.798691378056286
12,54 Piscium,36.1,53,0.798691378056286
13,54 Piscium,36.1,53,0.798691378056286
14,81 Cancri,66,,
15,81 Cancri,66,,
16,81 Cancri,66,,
17,81 Cancri,66,,
18,81 Cancri,66,,
19,81 Cancri,66,,
20,81 Cancri,66,,
21,81 Cancri,66,,
22,81 Cancri,66,,
23,81 Cancri,66,,
24,81 Cancri,66,,
25,81 Cancri,66,,
26,81 Cancri,66,,
27,81 Cancri,66,,
28,AB Pictoris,66.6,13.5,
29,AB Pictoris,66.6,13.5,
30,AB Pictoris,66.6,13.5,
31,AB Pictoris,66.6,13.5,
32,AB Pictoris,66.6,13.5,
33,AB Pictoris,66.6,13.5,
34,AB Pictoris,66.6,13.5,
35,AB Pictoris,66.6,13.5,
36,AB Pictoris,66.6,13.5,
37,AB Pictoris,66.6,13.5,
38,AB Pictoris,66.6,13.5,
39,AB Pictoris,66.6,13.5,
40,AB Pictoris,66.6,13.5,
41,AB Pictoris,66.6,13.5,
42,CD−33°7795,163.08,20,
43,CD−33°7795,163.08,20,
44,CD−33°7795,163.08,20,
45,CD−33°7795,163.08,20,
46,CD−33°7795,163.08,20,
47,CD−33°7795,163.08,20,
48,CD−33°7795,163.08,20,
49,CD−33°7795,163.08,20,
50,CD−33°7795,163.08,20,
51,CD−33°7795,163.08,20,
52,CD−33°7795,163.08,20,
53,CD−33°7795,163.08,20,
54,CD−33°7795,163.08,20,
55,CD−33°7795,163.08,20,
56,CT Chamaeleontis,538,17,2.2
57,CT Chamaeleontis,538,17,2.2
58,CT Chamaeleontis,538,17,2.2
59,CT Chamaeleontis,538,17,2.2
60,CT Chamaeleontis,538,17,2.2
61,CT Chamaeleontis,538,17,2.2
62,CT Chamaeleontis,538,17,2.2
63,CT Chamaeleontis,538,17,2.2
64,CT Chamaeleontis,538,17,2.2
65,CT Chamaeleontis,538,17,2.2
66,CT Chamaeleontis,538,17,2.2
67,CT Chamaeleontis,538,17,2.2
68,CT Chamaeleontis,538,17,2.2
69,CT Chamaeleontis,538,17,2.2
70,Eta Coronae Borealis,58.3,63,
71,Eta Coronae Borealis,58.3,63,
72,Eta Coronae Borealis,58.3,63,
73,Eta Coronae Borealis,58.3,63,
74,Eta Coronae Borealis,58.3,63,
75,Eta Coronae Borealis,58.3,63,
76,Eta Coronae Borealis,58.3,63,
77,Eta Coronae Borealis,58.3,63,
78,Eta Coronae Borealis,58.3,63,
79,Eta Coronae Borealis,58.3,63,
80,Eta Coronae Borealis,58.3,63,
81,Eta Coronae Borealis,58.3,63,
82,Eta Coronae Borealis,58.3,63,
83,Eta Coronae Borealis,58.3,63,
84,G 196-3,50.2,25,
85,G 196-3,50.2,25,
86,G 196-3,50.2,25,
87,G 196-3,50.2,25,
88,G 196-3,50.2,25,
89,G 196-3,50.2,25,
90,G 196-3,50.2,25,
91,G 196-3,50.2,25,
92,G 196-3,50.2,25,
93,G 196-3,50.2,25,
94,G 196-3,50.2,25,
95,G 196-3,50.2,25,
96,G 196-3,50.2,25,
97,G 196-3,50.2,25,
98,GD 165,103,,
99,GD 165,103,,
100,GD 165,103,,
101,GD 165,103,,
102,GD 165,103,,
103,GD 165,103,,
104,GD 165,103,,
105,GD 165,103,,
106,GD 165,103,,
107,GD 165,103,,
108,GD 165,103,,
109,GD 165,103,,
110,GD 165,103,,
111,GD 165,103,,
